C1.2ECT,Electrical Control Time Conduit,IEC61850,NTPZ,Electrical-Network,NTP-GPS-Receiver,UDP/123,NTP,Receive time for the Electrical Network IEC61850 and PROFINET.,lateral conduit,,1,2
C1.2SCT,Safety Control Time Conduit,SIS,NTPZ,Safety-Controllers,NTP-GPS-Receiver,UDP/123,NTP,Receive time for the SafetyControllers,lateral conduit,,1,2
C1.2PCT,Process Control Time Conduit,PCS,NTPZ,Process-Controllers,NTP-GPS-Receiver,UDP/123,NTP,Receive Time for the Process Controllers,local firewall,,1,2
C2.1800xAST,800xA Safety Time Conduit,SIS,POZ,Primary-Aspect-Server,Safety-Controller-Network,UDP/123,afwtime,Aspect Server get the time from the Safety Controller/Network,,,2,1
C2.1800xAPT,800xA Process Time Conduit,POZ,PCS,Primary-Aspect-Server,Process-Controller-Network,UDP/123,afwtime,Aspect Server get the time from the Process Controller/Network,,,2,1
C2.2OET,Onshore Engineering Time Conduit,PONZ,POZ,Onshore-EWS,Primary-Aspect-Server,UDP/123,afwtime,Request time from the aspect server,stretched vlan,,2,2
C2.2OET,Onshore Engineering Time Conduit,POZ,POZ,Offshore-EWS,Primary-Aspect-Server,UDP/123,afwtime,Request time from the aspect server,stretched vlan,,2,2
C2.5.5ESTD,ESXi Switch Management Time Zone,ESAZ,POZ,ESXi-Switch-Management-PC,DC-A-DC-B,UDP/123,W32Time,Request time from the domain controller for the ESXi & Switch Management PC,,,2,5
C2.2MZTD,Management Zone Time Conduit,BPUAVZ,POZ,Management-server,DC-A-DC-B,UDP/123,W32Time,Request time from the domain controller to sync the servers,,,2,2
C2.2TD,Time Distribution Conduit,POZ,POZ,Connectivity-Server,800xA-Servers,UDP/123,afwtime,Time distribution to the 800xA servers,local firewall,,2,2
C2.2DE_OFTO_1,Data Exchange OFTO SCADA Conduit_1,ESAZ,POZ,ESXi-Switch-Application-Server,Process-Operation-Zone,TCP/8080 TCP/5672,RabbitMQ,Exchange of data to OFTO SCADA System for HMI,Bidirectional,,2,2
C2.2DE_OFTO_2,Data Exchange OFTO SCADA Conduit_2,ESAZ,ExScadaZ,ESXi-Switch-Application-Server,OFTO-SCADA-GW,TCP/2404 TCP/19998,IEC104 with TLS,Exchange of data to OFTO SCADA System for HMI,Bidirectional,,2,2
C2.5.2MAD,Management Active Directory,BPUAVZ,POZ,Management-server,DC-A-DC-B,TCP/25 TCP/53 TCP/88 TCP/135 TCP/139 TCP/389 TCP/445 TCP/464 TCP/636 TCP/3268 TCP/3269 TCP/5722 TCP/9389 TCP/19152-65535 UDP/53 UDP/67 UDP/88 UDP/123 UDP/137 UDP/138 UDP/389 UDP/445 UDP/464 UDP/2535,DCE-RPC DNS KERBEROS LDAP LDAP_UDP NTP SMB,For Management server to reach the domain controllers and be part of the domain, user authenthication etc,,2.5,2
C2.5.2MAD2,Management Active Directory,ESAZ,POZ,ESXi-hosts,DC-A-DC-B,,DCE-RPC DNS KERBEROS LDAP LDAP_UDP NTP SMB,For ESXi hosts to reach the domain controllers and be part of the domain, user authentication etc,,2.5,2
C2.5.2MAD3,Management Active Directory,BPUAVZ,POZ,Backup-Server,DC-A-DC-B,,DCE-RPC DNS KERBEROS LDAP LDAP_UDP NTP SMB,For Backup Server to reach the domain controllers and be part of the domain, user authentication etc,,2.5,2
C2.2.5PU,Patch Update Conduit,POZ,BPUAVZ,800xA-Servers,Management-server,TCP/8530 TCP/8531,HTTPS,Conduit for System Servers to request and receive windows patches from the WSUS server.,,,2,2.5
C2.2.5AU,Antivirus Update Conduit,POZ,BPUAVZ,800xA-Servers,Management-server,TCP/82 TCP/8081 TCP/808 TCP/8181 TCP/8282 TCP/8444,TRELLIX,Conduit for System Servers to request and receive antivirus patches and updates from the ePO server.,Bidirectional,,2,2.5
C2.5.2B,Backup Conduit,BPUAVZ,POZ,Backup-Server,800xA-Servers,TCP/7755-7756 TCP/7765 TCP/7780 TCP/9852 TCP/9860 TCP/9862 TCP/9876 TCP/9877,ACRONIS,Backup of all system servers.,Bidirectional,,2.5,2
